VWTimestamp,EventCode,EventType,Easting,Northing,KP
20071105112655222,WELD,Pipeline Weld,596626.20,6710096.19,12.49839
20071105112714422,DBR,Rope debris,596630.89,6710099.99,12.50443
20071105112729822,WELD,Pipeline Weld,596635.95,6710103.60,12.51064
20071105112800562,WELD,Pipeline Weld,596645.41,6710111.33,12.52286
20071105112810362,NET,Fishing net debris,596648.26,6710113.57,12.52648
20071105112833600,WELD,Pipeline Weld,596655.52,6710118.65,12.53534
20071105112904520,WELD,Pipeline Weld,596665.20,6710126.02,12.54751
20071105112932357,WELD,Pipeline Weld,596674.86,6710133.49,12.55972
20071105112957777,WELD,Pipeline Weld,596684.70,6710141.16,12.57220
20071105113009700,DBR,Rope debris,596689.12,6710144.92,12.57800
20071105113022997,WELD,Pipeline Weld,596694.20,6710148.67,12.58432
20071105113048156,WELD,Pipeline Weld,596704.09,6710155.91,12.59657
20071105113112453,WELD,Pipeline Weld,596713.17,6710163.26,12.60825
20071105113139810,WELD,Pipeline Weld,596723.23,6710171.21,12.62108
20071105113206203,WELD,Pipeline Weld,596732.85,6710178.54,12.63317
20071105113232812,WELD,Pipeline Weld,596742.81,6710185.78,12.64548
20071105113245260,NET,Fishing net debris,596747.11,6710189.62,12.65125
20071105113259272,WELD,Pipeline Weld,596752.34,6710193.60,12.65782
20071105113325112,WELD,Pipeline Weld,596762.17,6710200.92,12.67008
20071105113350632,WELD,Pipeline Weld,596771.55,6710208.24,12.68198
20071105113417272,WELD,Pipeline Weld,596781.28,6710215.86,12.69433
20071105113444069,WELD,Pipeline Weld,596791.16,6710223.49,12.70682
20071105113509485,WELD,Pipeline Weld,596800.43,6710230.66,12.71854
20071105113523460,DBR,Rope debris,596805.60,6710234.56,12.72501
20071105113536982,WELD,Pipeline Weld,596810.50,6710238.31,12.73118
20071105113604283,WELD,Pipeline Weld,596820.37,6710245.83,12.74359
20071105113627162,DAMS,Coating damage - Start,596828.91,6710252.15,12.75422
20071105113630162,WELD,Pipeline Weld,596830.04,6710252.99,12.75562
20071105113640900,DAME,Coating damage - End,596833.35,6710255.62,12.75985
